Name,Type,Description,Product,Activity
NUCLEAR,Operation,Nuclear Power Generation,"electricity, high voltage","electricity production, nuclear, pressure water reactor"
NUCLEAR,Construction,Nuclear Power Generation,"nuclear power plant, pressure water reactor, 1000MW","nuclear power plant construction, pressure water reactor, 1000MW"
OCGT_LARGE,Operation,Open Cycle Gas Turbine 243 MW,"natural gas, burned in gas turbine","natural gas, burned in gas turbine"
OCGT_LARGE,Construction,Open Cycle Gas Turbine 243 MW,"gas turbine, 10MW electrical","market for gas turbine, 10MW electrical"
OCGT_SMALL,Operation,Open Cycle Gas Turbine 100 MW,"natural gas, burned in gas turbine","natural gas, burned in gas turbine"
OCGT_SMALL,Construction,Open Cycle Gas Turbine 100 MW,"gas turbine, 10MW electrical","market for gas turbine, 10MW electrical"
PAFC,Operation,Phosphoric Acid Fuel Cell,"electricity, from residential heating system","electricity, residential, by conversion of hydrogen using fuel cell, PEM, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from grid"
PAFC,Construction,Phosphoric Acid Fuel Cell,"fuel cell system, 1 kWe, proton exchange membrane (PEM)","fuel cell system assembly, 1 kWe, proton exchange membrane (PEM)"
PAPER_MAKING,Construction,Paper Production,"paper mill, integrated","paper mill construction, integrated"
PAPER_MAKING,Operation,Paper Production,"paper, newsprint","paper production, newsprint, recycled"
PAPER_MAKING_HP,Construction,Paper Production (heat pump),"paper mill, integrated","paper mill construction, integrated"
PAPER_MAKING_HP,Operation,Paper Production (heat pump),"paper, newsprint","paper production, newsprint, recycled"
PAPER_MAKING_HR,Construction,Paper Production with Heat Recovery,"paper mill, integrated","paper mill construction, integrated"
PAPER_MAKING_HR,Operation,Paper Production with Heat Recovery,"paper, newsprint","paper production, newsprint, recycled"
PEMFC,Construction,Proton Exchange Membrane Fuel Cell,"fuel cell system, 1 kWe, proton exchange membrane (PEM)","fuel cell system assembly, 1 kWe, proton exchange membrane (PEM)"
PEM_ELECTROLYSIS,Operation,Proton Exchange Membrane Electrolysis,"hydrogen, gaseous, 30 bar","hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity"
PEM_ELECTROLYSIS_PLANT,Construction,Proton Exchange Membrane Electrolysis (plant),"electrolyzer, 1MWe, PEM, Balance of Plant","electrolyzer production, 1MWe, PEM, Balance of Plant"
PEM_ELECTROLYSIS_PLANT_DECOM,Construction,Proton Exchange Membrane Electrolysis (plant decommissioning),"used fuel cell balance of plant, 1MWe, PEM","treatment of fuel cell balance of plant, 1MWe, PEM"
PEM_ELECTROLYSIS_STACK,Construction,Proton Exchange Membrane Electrolysis (stack),"electrolyzer, 1MWe, PEM, Stack","electrolyzer production, 1MWe, PEM, Stack"
PEM_ELECTROLYSIS_STACK_DECOM,Construction,Proton Exchange Membrane Electrolysis (stack decommissioning),"used fuel cell stack, 1MWe, PEM","treatment of fuel cell stack, 1MWe, PEM"
PET_FORMATION,Operation,Polyethylene Terephthalate Formation,"polyethylene terephthalate, granulate, amorphous","polyethylene terephthalate production, granulate, amorphous"
PET_FORMATION,Construction,Polyethylene Terephthalate Formation,"chemical factory, organics","chemical factory construction, organics"
PLANE_FREIGHT,Construction,Plane Freight,"aircraft, dedicated freight, medium haul","market for aircraft, dedicated freight, medium haul"
PLANE_FREIGHT,Operation,Plane Freight,"transport, freight, aircraft, medium haul","transport, freight, aircraft, dedicated freight, medium haul"
PLANE_LH,Operation,Passenger Plane long haul,"transport, passenger aircraft, very short haul","transport, passenger aircraft, very short haul"
PLANE_LH,Construction,Passenger Plane long haul,"aircraft, passenger, very short haul","market for aircraft, passenger, very short haul"
PLANE_SH,Construction,Passenger Plane short haul,"aircraft, passenger, medium haul","market for aircraft, passenger, medium haul"
PLANE_SH,Operation,Passenger Plane short haul,"transport, passenger aircraft, medium haul","transport, passenger aircraft, medium haul"
POLYPROPYLENE_PP,Operation,Polypropylene Production,"polypropylene, granulate","polypropylene production, granulate"
POLYPROPYLENE_PP,Construction,Polypropylene Production,"chemical factory, organics","chemical factory construction, organics"
PV_ROOF,Operation,Slanted-Roof Photovoltaic Solar Energy,"electricity, low voltage","electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted"
PV_ROOF,Construction,Slanted-Roof Photovoltaic Solar Energy,"photovoltaic slanted-roof installation, 3kWp, multi-Si, panel, mounted, on roof","market for photovoltaic slanted-roof installation, 3kWp, multi-Si, panel, mounted, on roof"
PV_GROUND,Operation,Open Ground Photovoltaic Solar Energy,"electricity, low voltage","electricity production, photovoltaic, 570kWp open ground installation, multi-Si"
PV_GROUND,Construction,Open Ground Photovoltaic Solar Energy,"photovoltaic plant, 570kWp, multi-Si, on open ground","market for photovoltaic plant, 570kWp, multi-Si, on open ground"
PVC_FORMATION,Construction,Polyvinyl Chloride Formation,"chemical factory, organics","chemical factory construction, organics"
PVC_FORMATION,Operation,Polyvinyl Chloride Formation,"polyvinylchloride, bulk polymerised","polyvinylchloride production, bulk polymerisation"
PYROLYSIS,Construction,Pyrolysis Process,"chemical factory, organics","chemical factory construction, organics"
PYROLYSIS,Operation,Pyrolysis Process,light fuel oil,"light fuel oil production, from waste polyethylene"
SCHOOLBUS_BIODIESEL_B100,Operation,100% BioDiesel-Powered School Bus,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck urban bus, EURO-VI"
SCHOOLBUS_BIODIESEL_B100,Construction,100% BioDiesel-Powered School Bus,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck urban bus, EURO-VI"
SCHOOLBUS_BIODIESEL_B20,Operation,20% BioDiesel-Powered School Bus,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck urban bus, EURO-VI"
SCHOOLBUS_BIODIESEL_B20,Construction,20% BioDiesel-Powered School Bus,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck urban bus, EURO-VI"
SCHOOLBUS_CNG,Operation,Compressed Natural Gas-Powered School Bus,"transport, passenger bus, EURO-VI","transport, passenger bus, compressed gas, 13m single deck urban bus, EURO-VI"
SCHOOLBUS_CNG,Construction,Compressed Natural Gas-Powered School Bus,"Passenger bus, EURO-VI","Passenger bus, compressed gas, 13m single deck urban bus, EURO-VI"
SCHOOLBUS_DIESEL,Operation,Diesel-Powered School Bus,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck urban bus, EURO-VI"
SCHOOLBUS_DIESEL,Construction,Diesel-Powered School Bus,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck urban bus, EURO-VI"
SCHOOLBUS_ETOH_E10,Operation,10% Ethanol-Powered School Bus,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck urban bus, EURO-VI"
SCHOOLBUS_ETOH_E10,Construction,10% Ethanol-Powered School Bus,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck urban bus, EURO-VI"
SCHOOLBUS_EV,Operation,Electric-Powered School Bus,"transport, passenger bus","transport, passenger bus, battery electric - overnight charging, 13m single deck urban bus"
SCHOOLBUS_EV,Construction,Electric-Powered School Bus,passenger bus,"passenger bus, battery electric - overnight charging, 13m single deck urban bus"
SCHOOLBUS_GASOLINE,Operation,Gasoline-Powered School Bus,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck urban bus, EURO-VI"
SCHOOLBUS_GASOLINE,Construction,Gasoline-Powered School Bus,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck urban bus, EURO-VI"
SCHOOLBUS_HY_DIESEL,Operation,Diesel Hybrid School Bus,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel hybrid, 13m single deck urban bus, EURO-VI"
SCHOOLBUS_HY_DIESEL,Construction,Diesel Hybrid School Bus,"Passenger bus, EURO-VI","Passenger bus, diesel hybrid, 13m single deck urban bus, EURO-VI"
SCHOOLBUS_PROPANE,Operation,Propane-Powered School Bus,"transport, passenger bus, EURO-VI","transport, passenger bus, compressed gas, 13m single deck urban bus, EURO-VI"
SCHOOLBUS_PROPANE,Construction,Propane-Powered School Bus,"Passenger bus, EURO-VI","Passenger bus, compressed gas, 13m single deck urban bus, EURO-VI"
SEMI_LH_BIODIESEL_B100,Operation,100% BioDiesel-Powered Long Distance Semi-trailer truck,"transport, freight, lorry, EURO-VI","transport, freight, lorry, diesel, 26t gross weight, EURO-VI, long haul"
SEMI_LH_BIODIESEL_B100,Construction,100% BioDiesel-Powered Long Distance Semi-trailer truck,"Medium duty truck, EURO-VI","Medium duty truck, diesel, 26t gross weight, EURO-VI, long haul"
SEMI_LH_BIODIESEL_B20,Construction,20% BioDiesel-Powered Long Distance Semi-trailer truck,"Medium duty truck, EURO-VI","Medium duty truck, diesel, 26t gross weight, EURO-VI, long haul"
SEMI_LH_BIODIESEL_B20,Operation,20% BioDiesel-Powered Long Distance Semi-trailer truck,"transport, freight, lorry, EURO-VI","transport, freight, lorry, diesel, 26t gross weight, EURO-VI, long haul"
SEMI_LH_CNG,Operation,Compressed Natural Gas-Powered Long Distance Semi-trailer truck,"transport, freight, lorry, EURO-VI","transport, freight, lorry, compressed gas, 26t gross weight, EURO-VI, long haul"
SEMI_LH_CNG,Construction,Compressed Natural Gas-Powered Long Distance Semi-trailer truck,"Medium duty truck, EURO-VI","Medium duty truck, compressed gas, 26t gross weight, EURO-VI, long haul"
SEMI_LH_DIESEL,Operation,Diesel-Powered Long Distance Semi-trailer truck,"transport, freight, lorry, EURO-VI","transport, freight, lorry, diesel, 26t gross weight, EURO-VI, long haul"
SEMI_LH_DIESEL,Construction,Diesel-Powered Long Distance Semi-trailer truck,"Medium duty truck, EURO-VI","Medium duty truck, diesel, 26t gross weight, EURO-VI, long haul"
SEMI_LH_EV,Operation,Electric-Powered Long Distance Semi-trailer truck,"transport, freight, lorry","transport, freight, lorry, battery electric, 26t gross weight, long haul"
SEMI_LH_EV,Construction,Electric-Powered Long Distance Semi-trailer truck,medium duty truck,"medium duty truck, battery electric, 26t gross weight, long haul"
SEMI_LH_FC_H2,Operation,Hydrogen Fuel Cell-Powered Long Distance Semi-trailer truck,"transport, freight, lorry","transport, freight, lorry, fuel cell electric, 26t gross weight, long haul"
SEMI_LH_FC_H2,Construction,Hydrogen Fuel Cell-Powered Long Distance Semi-trailer truck,medium duty truck,"medium duty truck, fuel cell electric, 26t gross weight, long haul"
SEMI_LH_HY_DIESEL,Operation,Diesel Hybrid Long Distance Semi-trailer truck,"transport, freight, lorry, EURO-VI","transport, freight, lorry, diesel hybrid, 26t gross weight, EURO-VI, long haul"
SEMI_LH_HY_DIESEL,Construction,Diesel Hybrid Long Distance Semi-trailer truck,"Medium duty truck, EURO-VI","Medium duty truck, diesel hybrid, 26t gross weight, EURO-VI, long haul"
SEMI_LH_PROPANE,Operation,Propane-Powered Long Distance Semi-trailer truck,"transport, freight, lorry, EURO-VI","transport, freight, lorry, compressed gas, 26t gross weight, EURO-VI, long haul"
SEMI_LH_PROPANE,Construction,Propane-Powered Long Distance Semi-trailer truck,"Medium duty truck, EURO-VI","Medium duty truck, compressed gas, 26t gross weight, EURO-VI, long haul"
SEMI_SH_BIODIESEL_B100,Construction,100% BioDiesel-Powered Short Distance Semi-trailer truck,truck,"truck, diesel, 26t, regional delivery"
SEMI_SH_BIODIESEL_B100,Operation,100% BioDiesel-Powered Short Distance Semi-trailer truck,"transport, truck","transport, truck, diesel, 26t, regional delivery"
SEMI_SH_BIODIESEL_B20,Construction,20% BioDiesel-Powered Short Distance Semi-trailer truck,truck,"truck, diesel, 26t, regional delivery"
SEMI_SH_BIODIESEL_B20,Operation,20% BioDiesel-Powered Short Distance Semi-trailer truck,"transport, truck","transport, truck, diesel, 26t, regional delivery"
SEMI_SH_CNG,Operation,Compressed Natural Gas-Powered Short Distance Semi-trailer truck,"transport, truck","transport, truck, compressed gas, 26t, regional delivery"
SEMI_SH_CNG,Construction,Compressed Natural Gas-Powered Short Distance Semi-trailer truck,truck,"truck, compressed gas, 26t, regional delivery"
SEMI_SH_DIESEL,Construction,Diesel-Powered Short Distance Semi-trailer truck,truck,"truck, diesel, 26t, regional delivery"
SEMI_SH_DIESEL,Operation,Diesel-Powered Short Distance Semi-trailer truck,"transport, truck","transport, truck, diesel, 26t, regional delivery"
SEMI_SH_EV,Operation,Electric-Powered Short Distance Semi-trailer truck,"transport, truck","transport, truck, battery electric, 26t, regional delivery"
SEMI_SH_EV,Construction,Electric-Powered Short Distance Semi-trailer truck,truck,"truck, battery electric, 26t, regional delivery"
SEMI_SH_FC_H2,Operation,Hydrogen Fuel Cell-Powered Short Distance Semi-trailer truck,"transport, truck","transport, truck, fuel cell electric, 26t, regional delivery"
SEMI_SH_FC_H2,Construction,Hydrogen Fuel Cell-Powered Short Distance Semi-trailer truck,truck,"truck, fuel cell electric, 26t, regional delivery"
SEMI_SH_HY_DIESEL,Operation,Diesel Hybrid Short Distance Semi-trailer truck,"transport, truck","transport, truck, diesel hybrid, 26t, regional delivery"
SEMI_SH_HY_DIESEL,Construction,Diesel Hybrid Short Distance Semi-trailer truck,truck,"truck, diesel hybrid, 26t, regional delivery"
SEMI_SH_PROPANE,Operation,Propane-Powered Short Distance Semi-trailer truck,"transport, truck","transport, truck, compressed gas, 26t, regional delivery"
SEMI_SH_PROPANE,Construction,Propane-Powered Short Distance Semi-trailer truck,truck,"truck, compressed gas, 26t, regional delivery"
SMART_PROCESS,Construction,Implementation of SMART Process from ethylbenzene to styrene,"chemical factory, organics","chemical factory construction, organics"
SMART_PROCESS,Operation,Implementation of SMART Process from ethylbenzene to styrene,styrene,styrene production
SMR,Operation,Steam Methane Reforming,"hydrogen, gaseous, low pressure","hydrogen production, steam methane reforming"
SMR_CCS,Operation,Steam Methane Reforming with Carbon Capture,"hydrogen, gaseous, low pressure","hydrogen production, steam methane reforming, with CCS"
SMR_CCS_PLANT,Construction,Steam Methane Reforming with Carbon Capture (plant),"chemical factory, organics","chemical factory construction, organics"
SMR_CCS_TANK,Construction,Steam Methane Reforming with Carbon Capture (storage tank),"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
SMR_PLANT,Construction,Steam Methane Reforming (plant),"chemical factory, organics","chemical factory construction, organics"
SMR_TANK,Construction,Steam Methane Reforming (storage tank),"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
SOEC_ELECTROLYSIS,Operation,Solid Oxide Electrolysis Cell Electrolysis,"hydrogen, gaseous, 1 bar","hydrogen production, gaseous, 1 bar, from SOEC electrolysis, from grid electricity"
SOEC_ELECTROLYSIS_PLANT,Construction,Solid Oxide Electrolysis Cell Electrolysis (plant),"electrolyzer, 1MWe, SOEC, Balance of Plant","electrolyzer production, 1MWe, SOEC, Balance of Plant"
SOEC_ELECTROLYSIS_PLANT_DECOM,Construction,Solid Oxide Electrolysis Cell Electrolysis (plant decommissioning),"used fuel cell balance of plant, 1MWe, SOEC","treatment of fuel cell balance of plant, 1MWe, SOEC"
SOEC_ELECTROLYSIS_STACK,Construction,Solid Oxide Electrolysis Cell Electrolysis (stack),"electrolyzer, 1MWe, SOEC, Stack","electrolyzer production, 1MWe, SOEC, Stack"
SOEC_ELECTROLYSIS_STACK_DECOM,Construction,Solid Oxide Electrolysis Cell Electrolysis (stack decommissioning),"used fuel cell stack, 1MWe, SOEC","treatment of fuel cell stack, 1MWe, SOEC"
SOFC,Construction,Solid Oxide Fuel Cell,"fuel cell, stack solid oxide, 125kW electrical, future","fuel cell production, stack solid oxide, 125kW electrical, future"
SOFC,Operation,Solid Oxide Fuel Cell,"electricity, from residential heating system","electricity, residential, by conversion of hydrogen using fuel cell, SOFC, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from grid"
STEEL_MAKING,Operation,Steel Production,"steel, chromium steel 18/8","market for steel, chromium steel 18/8"
STEEL_MAKING,Construction,Steel Production,aluminium casting facility,aluminium casting facility construction
STEEL_MAKING_HP,Construction,Steel Production (heat pump),aluminium casting facility,aluminium casting facility construction
STEEL_MAKING_HP,Operation,Steel Production (heat pump),"steel, chromium steel 18/8","market for steel, chromium steel 18/8"
STEEL_MAKING_HR,Operation,Steel Production with Heat Recovery,"steel, chromium steel 18/8","market for steel, chromium steel 18/8"
STEEL_MAKING_HR,Construction,Steel Production with Heat Recovery,aluminium casting facility,aluminium casting facility construction
STYRENE_POLYMERIZATION,Construction,Styrene Polymerization Process,"chemical factory, organics","chemical factory construction, organics"
STYRENE_POLYMERIZATION,Operation,Styrene Polymerization Process,"polystyrene, expandable","polystyrene production, expandable"
SUV_BIODIESEL_B100,Construction,100% BioDiesel-Powered Sport Utility Vehicle,"Passenger car, EURO-6ab","Passenger car, diesel, Large SUV, EURO-6ab"
SUV_BIODIESEL_B100,Operation,100% BioDiesel-Powered Sport Utility Vehicle,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Large SUV, EURO-6ab"
SUV_BIODIESEL_B20,Operation,20% BioDiesel-Powered Sport Utility Vehicle,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Large SUV, EURO-6ab"
SUV_BIODIESEL_B20,Construction,20% BioDiesel-Powered Sport Utility Vehicle,"Passenger car, EURO-6ab","Passenger car, diesel, Large SUV, EURO-6ab"
SUV_CNG,Construction,Compressed Natural Gas-Powered Sport Utility Vehicle,"Passenger car, EURO-6ab","Passenger car, compressed gas, Large SUV, EURO-6ab"
SUV_CNG,Operation,Compressed Natural Gas-Powered Sport Utility Vehicle,"transport, passenger car, EURO-6ab","transport, passenger car, compressed gas, Large SUV, EURO-6ab"
SUV_DIESEL,Operation,Diesel-Powered Sport Utility Vehicle,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Large SUV, EURO-6ab"
SUV_DIESEL,Construction,Diesel-Powered Sport Utility Vehicle,"Passenger car, EURO-6ab","Passenger car, diesel, Large SUV, EURO-6ab"
SUV_ETOH_E10,Operation,10% Ethanol-Powered Sport Utility Vehicle,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Large SUV, EURO-6ab"
SUV_ETOH_E10,Construction,10% Ethanol-Powered Sport Utility Vehicle,"Passenger car, EURO-6ab","Passenger car, diesel, Large SUV, EURO-6ab"
SUV_ETOH_E85,Operation,85% Ethanol-Powered Sport Utility Vehicle,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Large SUV, EURO-6ab"
SUV_ETOH_E85,Construction,85% Ethanol-Powered Sport Utility Vehicle,"Passenger car, EURO-6ab","Passenger car, diesel, Large SUV, EURO-6ab"
SUV_EV,Construction,Electric-Powered Sport Utility Vehicle,passenger car,"passenger car, battery electric, Large SUV"
SUV_EV,Operation,Electric-Powered Sport Utility Vehicle,"transport, passenger car","transport, passenger car, battery electric, Large SUV"
SUV_FC_H2,Operation,Hydrogen Fuel Cell-Powered Sport Utility Vehicle,"transport, passenger car","transport, passenger car, fuel cell electric, Large SUV"
SUV_FC_H2,Construction,Hydrogen Fuel Cell-Powered Sport Utility Vehicle,passenger car,"passenger car, fuel cell electric, Large SUV"
SUV_GASOLINE,Construction,Gasoline-Powered Sport Utility Vehicle,"Passenger car, EURO-6ab","Passenger car, gasoline, Large SUV, EURO-6ab"
SUV_GASOLINE,Operation,Gasoline-Powered Sport Utility Vehicle,"transport, passenger car, EURO-6ab","transport, passenger car, gasoline, Large SUV, EURO-6ab"
SUV_HY_GASOLINE,Operation,Gasoline Hybrid Sport Utility Vehicle,"transport, passenger car, EURO-6ab","transport, passenger car, gasoline hybrid, Large SUV, EURO-6ab"
SUV_HY_GASOLINE,Construction,Gasoline Hybrid Sport Utility Vehicle,"Passenger car, EURO-6ab","Passenger car, gasoline hybrid, Large SUV, EURO-6ab"
SUV_PHEV_GASOLINE,Construction,Plug-in Hybrid Gasoline-Powered Sport Utility Vehicle,"Passenger car, EURO-6ab","Passenger car, plugin gasoline hybrid, Large SUV, EURO-6ab"
SUV_PHEV_GASOLINE,Operation,Plug-in Hybrid Gasoline-Powered Sport Utility Vehicle,"transport, passenger car, EURO-6ab","transport, passenger car, plugin gasoline hybrid, Large SUV, EURO-6ab"
SUV_PROPANE,Operation,Propane-Powered Sport Utility Vehicle,"transport, passenger car, EURO-6ab","transport, passenger car, compressed gas, Large SUV, EURO-6ab"
SUV_PROPANE,Construction,Propane-Powered Sport Utility Vehicle,"Passenger car, EURO-6ab","Passenger car, compressed gas, Large SUV, EURO-6ab"
TIDAL,Construction,Tidal power,wave energy converter platform,wave energy converter platform production
TIDAL,Operation,Tidal power,"electricity, high voltage","electricity production, wave energy converter"
TRAFO_EH,Operation,Extra High to High Voltage Transformer,"electricity, high voltage","market for electricity, high voltage"
TRAFO_HE,Operation,High to Extra High Voltage Transformer,"electricity, high voltage","market for electricity, high voltage"
TRAFO_HM,Operation,High to Medium Voltage Transformer,"electricity, high voltage","market for electricity, high voltage"
TRAFO_LM,Operation,Low to Medium Voltage Transformer,"electricity, low voltage","market for electricity, low voltage"
TRAFO_MH,Operation,Medium to High Voltage Transformer,"electricity, medium voltage","market for electricity, medium voltage"
TRAFO_ML,Operation,Medium to Low Voltage Transformer,"electricity, medium voltage","market for electricity, medium voltage"
TRAIN_DIESEL,Operation,Diesel-Powered Train,"transport, passenger train","transport, passenger train"
TRAIN_DIESEL,Construction,Diesel-Powered Train,"train, passenger, long-distance","train production, passenger, long-distance"
TRAIN_ELEC,Operation,Electric-Powered Train,"transport, passenger train","transport, passenger train, high-speed"
TRAIN_ELEC,Construction,Electric-Powered Train,"train, passenger, high speed","market for train, passenger, high speed"
TRAIN_FREIGHT_DIESEL,Operation,Diesel-Powered Freight Train,"transport, freight train","transport, freight train, diesel"
TRAIN_FREIGHT_DIESEL_LOC,Construction,Diesel-Powered Freight Train (locomotive),locomotive,locomotive production
TRAIN_FREIGHT_DIESEL_WAG,Construction,Diesel-Powered Freight Train (wagon),goods wagon,goods wagon production
TRAIN_FREIGHT_ELEC,Operation,"Electric-Powered Freight Train (co-generation unit, components for electricity)","transport, freight train","transport, freight train, electricity"
TRAIN_FREIGHT_ELEC_LOC,Construction,Electric-Powered Freight Train (locomotive),locomotive,locomotive production
TRAIN_FREIGHT_ELEC_WAG,Construction,Electric-Powered Freight Train (wagon),goods wagon,goods wagon production
TRAIN_FREIGHT_H2,Operation,Hydrogen-Powered Freight Train,"transport, freight train","transport, freight train, electricity"
TRAIN_FREIGHT_H2_LOC,Construction,Hydrogen-Powered Freight Train (locomotive),locomotive,locomotive production
TRAIN_FREIGHT_H2_WAG,Construction,Hydrogen-Powered Freight Train (wagon),goods wagon,goods wagon production
TRAIN_FREIGHT_H2_HYBRID,Operation,Hybrid Battery-Fuel Cell-Powered Freight Train,"transport, freight train","transport, freight train, electricity"
TRAIN_FREIGHT_H2_HYBRID_LOC,Construction,Hybrid Battery-Fuel Cell-Powered Freight Train (locomotive),locomotive,locomotive production
TRAIN_FREIGHT_H2_HYBRID_WAG,Construction,Hybrid Battery-Fuel Cell-Powered Freight Train (wagon),goods wagon,goods wagon production
TRAIN_FREIGHT_NG,Operation,Natural Gas-Powered Freight Train,"transport, freight train","transport, freight train, diesel"
TRAIN_FREIGHT_NG_LOC,Construction,Natural Gas-Powered Freight Train (locomotive),locomotive,locomotive production
TRAIN_FREIGHT_NG_WAG,Construction,Natural Gas-Powered Freight Train (wagon),goods wagon,goods wagon production
TRAIN_H2,Operation,Hydrogen-Powered Train,"transport, passenger train","transport, passenger train"
TRAIN_H2,Construction,Hydrogen-Powered Train,"train, passenger, long-distance","train production, passenger, long-distance"
TRAIN_NG,Operation,Natural Gas-Powered Train,"transport, passenger train","transport, passenger train"
TRAIN_NG,Construction,Natural Gas-Powered Train,"train, passenger, long-distance","train production, passenger, long-distance"
TRAMWAY,Construction,Tramway,tram,tram production
TRAMWAY,Operation,Tramway,"transport, tram","transport, tram"
TRUCK_LH_BIODIESEL_B100,Construction,100% BioDiesel-Powered Long Distance Truck,"Medium duty truck, EURO-VI","Medium duty truck, diesel, 18t gross weight, EURO-VI, long haul"
TRUCK_LH_BIODIESEL_B100,Operation,100% BioDiesel-Powered Long Distance Truck,"transport, freight, lorry, EURO-VI","transport, freight, lorry, diesel, 18t gross weight, EURO-VI, long haul"
TRUCK_LH_BIODIESEL_B20,Construction,20% BioDiesel-Powered Long Distance Truck,"Medium duty truck, EURO-VI","Medium duty truck, diesel, 18t gross weight, EURO-VI, long haul"
TRUCK_LH_BIODIESEL_B20,Operation,20% BioDiesel-Powered Long Distance Truck,"transport, freight, lorry, EURO-VI","transport, freight, lorry, diesel, 18t gross weight, EURO-VI, long haul"
TRUCK_LH_CNG,Construction,Compressed Natural Gas-Powered Long Distance Truck,"Medium duty truck, EURO-VI","Medium duty truck, compressed gas, 18t gross weight, EURO-VI, long haul"
TRUCK_LH_CNG,Operation,Compressed Natural Gas-Powered Long Distance Truck,"transport, freight, lorry, EURO-VI","transport, freight, lorry, compressed gas, 18t gross weight, EURO-VI, long haul"
TRUCK_LH_DIESEL,Construction,Diesel-Powered Long Distance Truck,"Medium duty truck, EURO-VI","Medium duty truck, diesel, 18t gross weight, EURO-VI, long haul"
TRUCK_LH_DIESEL,Operation,Diesel-Powered Long Distance Truck,"transport, freight, lorry, EURO-VI","transport, freight, lorry, diesel, 18t gross weight, EURO-VI, long haul"
TRUCK_LH_EV,Construction,Electric-Powered Long Distance Truck,medium duty truck,"medium duty truck, battery electric, 18t gross weight, long haul"
TRUCK_LH_EV,Operation,Electric-Powered Long Distance Truck,"transport, freight, lorry","transport, freight, lorry, battery electric, 18t gross weight, long haul"
TRUCK_LH_GASOLINE,Construction,Gasoline-Powered Long Distance Truck,"Medium duty truck, EURO-VI","Medium duty truck, diesel, 18t gross weight, EURO-VI, long haul"
TRUCK_LH_GASOLINE,Operation,Gasoline-Powered Long Distance Truck,"transport, freight, lorry, EURO-VI","transport, freight, lorry, diesel, 18t gross weight, EURO-VI, long haul"
TRUCK_LH_HY_DIESEL,Construction,Diesel Hybrid Long Distance Truck,"Medium duty truck, EURO-VI","Medium duty truck, diesel hybrid, 18t gross weight, EURO-VI, long haul"
TRUCK_LH_HY_DIESEL,Operation,Diesel Hybrid Long Distance Truck,"transport, freight, lorry, EURO-VI","transport, freight, lorry, diesel hybrid, 18t gross weight, EURO-VI, long haul"
TRUCK_LH_PROPANE,Operation,Propane-Powered Long Distance Truck,"transport, freight, lorry, EURO-VI","transport, freight, lorry, compressed gas, 18t gross weight, EURO-VI, long haul"
TRUCK_LH_PROPANE,Construction,Propane-Powered Long Distance Truck,"Medium duty truck, EURO-VI","Medium duty truck, compressed gas, 18t gross weight, EURO-VI, long haul"
TRUCK_SH_BIODIESEL_B100,Operation,100% BioDiesel-Powered Short Distance Truck,"transport, truck","transport, truck, diesel, 18t, regional delivery"
TRUCK_SH_BIODIESEL_B100,Construction,100% BioDiesel-Powered Short Distance Truck,truck,"truck, diesel, 18t, regional delivery"
TRUCK_SH_BIODIESEL_B20,Operation,20% BioDiesel-Powered Short Distance Truck,"transport, truck","transport, truck, diesel, 18t, regional delivery"
TRUCK_SH_BIODIESEL_B20,Construction,20% BioDiesel-Powered Short Distance Truck,truck,"truck, diesel, 18t, regional delivery"
TRUCK_SH_CNG,Construction,Compressed Natural Gas-Powered Short Distance Truck,truck,"truck, compressed gas, 18t, regional delivery"
TRUCK_SH_CNG,Operation,Compressed Natural Gas-Powered Short Distance Truck,"transport, truck","transport, truck, compressed gas, 18t, regional delivery"
TRUCK_SH_DIESEL,Operation,Diesel-Powered Short Distance Truck,"transport, truck","transport, truck, diesel, 18t, regional delivery"
TRUCK_SH_DIESEL,Construction,Diesel-Powered Short Distance Truck,truck,"truck, diesel, 18t, regional delivery"
TRUCK_SH_EV,Construction,Electric-Powered Short Distance Truck,truck,"truck, battery electric, 18t, regional delivery"
